
S&P 500 INDEX,Last: 4604.3701,Change:  18.7801
Date: 9 декабря 2023 г. в 13:49 GMT-5,Bid: 4579.7998,Ask: 4623.75,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Fri Dec 08 2023,SPXW231208C01200000,0,0,3399.4,3407.9,0,0,0,0,2,1200.00,SPXW231208P01200000,0,0,0,0.05,0,0,0,0,0
Fri Dec 08 2023,SPXW231208C01400000,3182.35,0,3199.5,3207.9,0,0,0,0,3,1400.00,SPXW231208P01400000,0,0,0,0.05,0,0,0,0,0
Fri Dec 08 2023,SPXW231208C01600000,2985.7,2.7,2999.5,3007.9,1,0,0,0,0,1600.00,SPXW231208P01600000,0,0,0,0.05,0,0,0,0,0
Fri Dec 08 2023,SPXW231208C01800000,0,0,2799.5,2807.9,0,0,0,0,0,1800.00,SPXW231208P01800000,0.15,0,0,0.05,0,0,0,0,3
Fri Dec 08 2023,SPXW231208C02000000,2548.67,0,2599.5,2607.9,0,0,0,0,500,2000.00,SPXW231208P02000000,0.03,0,0,0.05,0,0,0,0,702
Fri Dec 08 2023,SPXW231208C02200000,0,0,2399.5,2407.9,0,0,0,0,0,2200.00,SPXW231208P02200000,0.05,0,0,0.05,0,0,0,0,244
Fri Dec 08 2023,SPXW231208C02400000,0,0,2199.5,2207.9,0,0,0,0,0,2400.00,SPXW231208P02400000,0.05,0,0,0.05,0,0,0,0,681
Fri Dec 08 2023,SPXW231208C02600000,0,0,1999.5,2007.9,0,0,0,0,3,2600.00,SPXW231208P02600000,0.05,0,0,0.05,0,0,0,0,939
Fri Dec 08 2023,SPXW231208C02800000,0,0,1799.5,1807.9,0,0,0,0,0,2800.00,SPXW231208P02800000,0.05,0,0,0.05,0,0,0,0,1305
Fri Dec 08 2023,SPXW231208C02900000,0,0,1699.4,1707.9,0,0,0,0,0,2900.00,SPXW231208P02900000,0.05,0,0,0.05,0,0,0,0,717
Fri Dec 08 2023,SPXW231208C03000000,1587.53,5.08,1599.5,1607.9,1,0,0,0,501,3000.00,SPXW231208P03000000,0.03,0,0,0.05,0,0,0,0,1197
Fri Dec 08 2023,SPXW231208C03100000,0,0,1499.5,1507.9,0,0,0,0,0,3100.00,SPXW231208P03100000,0.05,0,0,0.05,0,0,0,0,920
